App,Category,Rating,Reviews,Size,Installs,Type,Price ($),Content Rating,Genres,Last Updated,Current Ver,Android Ver
BK Arogyam Task Track,BUSINESS,4-5,8,3.7M,100,Free,0,Everyone,Business,"June 5, 2018",1.1.1,4.1 and up
Space Z 🌏 🚀Icon Pack Theme,PERSONALIZATION,4-5,201,68M,1000,Paid,149,Everyone,Personalization,"August 4, 2018",1.2.7,4.0.3 and up
CARS.bg,AUTO_AND_VEHICLES,4-5,276,1.7M,100000,Free,0,Everyone,Auto & Vehicles,"July 5, 2017",1.1.3,4.4 and up
Bluetooth Pair,TOOLS,3-4,1960,2.7M,1000000,Free,0,Everyone,Tools,"August 4, 2018",2.5,4.1 and up
Adobe Premiere Clip,ENTERTAINMENT,3-4,39495,59M,5000000,Free,0,Everyone,Video Players & Editors,"June 26, 2018",1.1.4.1296,4.4 and up
Etta Homes,LIFESTYLE,4-5,220,15M,50000,Free,0,Everyone,Lifestyle,"July 26, 2018",9.1.0,5.0 and up
Temple Run 2,GAME,4-5,8116142,62M,500000000,Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up
Relax Ocean ~ Nature Sounds,LIFESTYLE,4-5,9464,Varies with device,500000,Free,0,Everyone,Lifestyle,"July 18, 2017",Varies with device,Varies with device
Florida Beach Wallpapers HD,TRAVEL_AND_LOCAL,4-5,3,12M,100,Free,0,Everyone,Travel & Local,"December 30, 2015",1.8.1,4.1 and up
Lufthansa,TRAVEL_AND_LOCAL,3-4,14544,43M,1000000,Free,0,Everyone,Travel & Local,"July 27, 2018",7.2.5,4.1 and up
Microsoft Word,PRODUCTIVITY,4-5,2084126,Varies with device,500000000,Free,0,Everyone,Productivity,"July 11, 2018",16.0.10325.20043,4.4 and up
Galaxy Live Wallpaper,PERSONALIZATION,4-5,58052,4.0M,5000000,Free,0,Teen,Personalization,"September 14, 2017",1.1.8,2.3.3 and up
GO Weather EX Theme White,WEATHER,4-5,8723,4.6M,500000,Free,0,Everyone,Weather,"August 27, 2014",1.0,2.2 and up
"BDCast - Bangla Live TV,Radio",FAMILY,4-5,7461,31M,1000000,Free,0,Everyone,Entertainment,"May 20, 2018",4.2.1,4.1 and up
Cinemark Theatres,ENTERTAINMENT,4-5,21867,39M,1000000,Free,0,Teen,Entertainment,"July 12, 2018",2.19.0,5.0 and up
Animal Jam - Play Wild!,FAMILY,4-5,361734,58M,5000000,Free,0,Everyone,Casual;Pretend Play,"August 2, 2018",28.0.14,4.1 and up
loans.com.au Smart Money,FINANCE,3-4,30,17M,1000,Free,0,Everyone,Finance,"May 27, 2018",1.4.0,4.1 and up
